entry_time,exit_time,spread_side,long_symbol,short_symbol,entry_z,exit_z,pnl,holding_bars,holding_hours,exit_reason
2026-02-07 07:00:00+00:00,2026-02-07 07:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1303,0.2951,15.1397,9,0.75,signal
2026-02-07 12:25:00+00:00,2026-02-07 12:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.6024,0.6646,35.7672,1,0.08,signal
2026-02-07 12:45:00+00:00,2026-02-07 15:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.3575,-0.0398,20.2801,28,2.33,signal
2026-02-07 16:15:00+00:00,2026-02-07 18:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.204,0.7398,18.353,24,2.0,signal
2026-02-07 18:55:00+00:00,2026-02-07 19:50:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.4477,0.2583,26.8094,11,0.92,signal
2026-02-07 22:20:00+00:00,2026-02-08 00:40:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.269,0.5449,13.1163,28,2.33,signal
2026-02-08 04:00:00+00:00,2026-02-08 05:10:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.1687,0.3765,40.4056,14,1.17,signal
2026-02-08 07:05:00+00:00,2026-02-08 07:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.3767,0.4161,29.4397,6,0.5,signal
2026-02-08 10:25:00+00:00,2026-02-08 10:50:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1848,0.3504,25.6916,5,0.42,signal
2026-02-08 11:55:00+00:00,2026-02-08 15:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.4032,-0.0504,25.0857,38,3.17,signal
2026-02-08 22:10:00+00:00,2026-02-08 23:45:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1507,-0.2999,14.2891,19,1.58,signal
2026-02-09 00:25:00+00:00,2026-02-09 01:20:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.008,-0.676,25.9482,11,0.92,signal
2026-02-09 06:20:00+00:00,2026-02-09 10:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.687,0.559,-5.639,45,3.75,signal
2026-02-09 12:45:00+00:00,2026-02-09 15:45:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1789,0.4715,25.909,36,3.0,signal
2026-02-09 16:50:00+00:00,2026-02-09 17:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.5427,-0.5539,18.5595,8,0.67,signal
2026-02-09 18:10:00+00:00,2026-02-09 20:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.4733,-0.1357,21.7236,27,2.25,signal
2026-02-09 21:30:00+00:00,2026-02-09 23:00:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.012,0.7477,7.6705,18,1.5,signal
2026-02-10 04:50:00+00:00,2026-02-10 05:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1024,-0.3346,23.5087,11,0.92,signal
2026-02-10 06:50:00+00:00,2026-02-10 09:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.5122,-0.0696,19.3873,26,2.17,signal
2026-02-10 16:25:00+00:00,2026-02-10 18:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.278,-0.192,27.7862,24,2.0,signal
2026-02-10 23:05:00+00:00,2026-02-11 03:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1294,-0.2914,18.4636,48,4.0,signal
2026-02-11 14:10:00+00:00,2026-02-11 14:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.7801,0.159,36.8068,9,0.75,signal
2026-02-11 16:20:00+00:00,2026-02-11 22:20:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.3593,1.9882,3.8732,72,6.0,timeout
2026-02-11 23:25:00+00:00,2026-02-12 00:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5349,0.6663,16.3648,10,0.83,signal
2026-02-12 00:40:00+00:00,2026-02-12 00:50:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.2556,0.476,18.0006,2,0.17,signal
2026-02-12 01:00:00+00:00,2026-02-12 02:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1842,-0.5167,27.3114,14,1.17,signal
2026-02-12 08:40:00+00:00,2026-02-12 14:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0697,-0.2808,13.6203,66,5.5,signal
2026-02-12 19:25:00+00:00,2026-02-12 19:45:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0551,-0.7478,12.4438,4,0.33,signal
2026-02-13 11:25:00+00:00,2026-02-13 12:20:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1021,-0.228,18.3611,11,0.92,signal
2026-02-13 13:30:00+00:00,2026-02-13 15:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8426,0.5523,21.8434,21,1.75,signal
2026-02-13 19:15:00+00:00,2026-02-13 19:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1587,-0.5233,16.3609,3,0.25,signal
2026-02-13 23:55:00+00:00,2026-02-14 04:40:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1186,-0.2141,17.4809,57,4.75,signal
2026-02-14 05:50:00+00:00,2026-02-14 08:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.7978,-0.6888,15.1676,29,2.42,signal
2026-02-14 08:50:00+00:00,2026-02-14 09:25:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.9402,-6.5649,-49.7736,7,0.58,stop
2026-02-14 11:25:00+00:00,2026-02-14 17:25:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.8136,-1.816,-17.3964,72,6.0,timeout
2026-02-14 17:35:00+00:00,2026-02-14 21:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.1219,0.2866,8.0164,47,3.92,signal
2026-02-15 00:20:00+00:00,2026-02-15 00:45:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1401,0.428,27.7069,5,0.42,signal
2026-02-15 01:25:00+00:00,2026-02-15 01:30:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8375,-0.4176,36.1859,1,0.08,signal
2026-02-15 02:35:00+00:00,2026-02-15 03:35:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.4472,0.0031,24.1523,12,1.0,signal
2026-02-15 04:15:00+00:00,2026-02-15 05:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.3216,-0.115,25.2328,10,0.83,signal
2026-02-15 11:05:00+00:00,2026-02-15 12:50:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.6846,-0.4854,27.8608,21,1.75,signal
